FEATURE,Feature
NOFEATURES,noFeatures
PARKING,Parking
TOILETTES,Toilettes
TABLES DE PIQUE-NIQUE,Tables de pique-nique
AIRE DE PIQUE-NIQUE,Aire de pique-nique
POINT D'EAU POTABLE,Point d'eau potable
,
PLAGE,Plage
COMMERCES 1ERE NECESSITE,Commerces 1ère nécessité
VENTE DE PLATS A EMPORTER,Vente de plats à emporter
RESTAURANT,Restaurant
LOCATION MATERIEL DE SPORT,Location matériel de sport
BAR,Bar
BAIGNADE,Baignade
TERRASSE,Terrasse
JARDIN,Jardin
AIRE DE JEUX _ TERRAIN DE JEUX EXTERIEURS,Aire de jeux _ terrain de jeux extérieurs
SALON DE JARDIN,Salon de jardin
CHEMINEE _ POELE,Cheminée _ poële
TELEVISION,Télévision
BARBECUE,Barbecue
CHAISE BEBE,Chaise bébé
CHAUFFAGE,Chauffage
LAVE VAISSELLE,Lave vaisselle
LOCATION DE LINGE,Location de linge
EMPLACEMENT SEMI-OMBRAGE,Emplacement semi-ombragé
PISCINE PLEIN AIR,Piscine plein air
MATERIEL BEBE _ ENFANT,Matériel bébé _ enfant
LAVE LINGE PRIVATIF,Lave linge privatif
WIFI _ ACCES INTERNET,Wifi _ accès internet
CUISINE COLLECTIVE,Cuisine collective
LOCAL VELO,Local vélo
LAVERIE _ BLANCHISSERIE,laverie _ blanchisserie
BRANCHEMENTS D'EAU,Branchements d'eau
BRANCHEMENTS ELECTRIQUES,Branchements électriques
INSTALLATIONS POUR HANDICAPES,Installations pour handicapés
SALLE D'EAU PRIVEE,Salle d'eau privée
SALLE DE PROJECTION,Salle de projection
BORNE DE SERVICE CAMPING CAR,Borne de service camping car
VIDANGE TOILETTES CHIMIQUES,Vidange toilettes chimiques
PARKING AUTOCAR,Parking autocar
MENAGE EN FIN DE SEJOUR,Ménage en fin de séjour
SALLE DE BAIN PRIVEE,Salle de bain privée
BOUTIQUE,Boutique
CUISINE - COIN CUISINE,Cuisine - coin cuisine
SPA _ BAIN A REMOUS _ JACUZZI,Spa _ bain à remous _ jacuzzi
LIVRAISONS A DOMICILE,Livraisons à domicile
ALIMENTATION - POINT ALIMENTATION,Alimentation - point alimentation
ASCENSEUR,Ascenseur
SALLE DE REUNION,Salle de réunion
COUR,Cour
SECHE CHEVEUX,Sèche cheveux
DRAPS ET LINGES,Draps et linges
PARKING PRIVE,Parking privé
PLAIN PIED,Plain pied
ENTREE INDEPENDANTE,Entrée indépendante
CABLE - SATELLITE,Câble - satellite
SAUNA,Sauna
SALLE DE SEMINAIRE,Salle de séminaire
PARC,Parc
CLIMATISATION,Climatisation
PISCINE,Piscine
EMPLACEMENT OMBRAGE,Emplacement ombragé
GARAGE,Garage
EMPLACEMENT,Emplacement
DOUCHE,Douche
ESPACE JEUX,Espace jeux
SECHE LINGE PRIVATIF,Sèche linge privatif
LOCAL MATERIEL FERME,Local matériel fermé
TERRAIN CLOS,Terrain clos
TERRAIN FERME LA NUIT,Terrain fermé la nuit
SALLE OU TERRAIN DE SPORT,Salle ou terrain de sport
MASSAGES,Massages
CHAMBRE,Chambre
PATAUGEOIRE _ PISCINE ENFANTS,Pataugeoire _ Piscine enfants
EMPLACEMENT CAMPING CAR,Emplacement camping car
VENTE A LA PROPRIETE,Vente à la propriété
TRAITEUR,Traiteur
HAMMAM,Hammam
LOCATION DE VELO,Location de vélo
AIRE DE DEPOSE RAPIDE,Aire de dépose rapide
VESTIAIRE,Vestiaire
LOCATION MOBIL HOME,Location mobil home
HABITAT LEGER DE LOISIRS,Habitat léger de loisirs
SANITAIRES CHAUFFES,Sanitaires chauffés
CLUB ENFANTS,Club enfants
ROOM SERVICE,Room service
LOCATION DE CARAVANE,Location de caravane
SALLE DE RECEPTION,Salle de réception
VOITURIER,Voiturier
SECHE LINGE COLLECTIF,Sèche linge collectif
SALLE D'EAU COMMUNE,Salle d'eau commune
PLAGE SURVEILLEE,Plage surveillée
MEDIATHEQUE,Médiathèque
LIT SIMPLE,Lit simple
ANIMATIONS,Animations
SALLE HORS-SAC,Salle hors-sac
AUDITORIUM,Auditorium
BIBLIOTHEQUE,Bibliothèque
NAVETTE AEROPORT OU GARE,Navette aéroport ou gare
SALLE DE BAIN COMMUNE,Salle de bain commune
