TYPES,Types
LOCALBUSINESS,LocalBusiness
FITNESSCENTER,FitnessCenter
PLACEOFINTEREST,PlaceOfInterest
POINTOFINTEREST,PointOfInterest
SPORTSANDLEISUREPLACE,SportsAndLeisurePlace
STADIUMORARENA,StadiumOrArena
STADIUM,Stadium
ACCOMMODATION,Accommodation
LODGINGBUSINESS,LodgingBusiness
ACCOMMODATION,Accommodation
CAMPING,Camping
CAMPINGANDCARAVANNING,CampingAndCaravanning
LIBRARY,Library
CULTURALSITE,CulturalSite
LIBRARY,Library
HOTEL,Hotel
HOTEL,Hotel
HOTELTRADE,HotelTrade
FOODESTABLISHMENT,FoodEstablishment
RESTAURANT,Restaurant
FOODESTABLISHMENT,FoodEstablishment
HOTELRESTAURANT,HotelRestaurant
RESTAURANT,Restaurant
STORE,Store
TASTINGPROVIDER,TastingProvider
BARORPUB,BarOrPub
EVENT,Event
SALEEVENT,SaleEvent
ENTERTAINMENTANDEVENT,EntertainmentAndEvent
MARKET,Market
SALEEVENT,SaleEvent
MILL,Mill
TECHNICALHERITAGE,TechnicalHeritage
MUSEUM,Museum
MUSEUM,Museum
CITYHERITAGE,CityHeritage
CRAFTSMANSHOP,CraftsmanShop
COLLECTIVEACCOMMODATION,CollectiveAccommodation
HOLIDAYRESORT,HolidayResort
RENTALACCOMMODATION,RentalAccommodation
SELFCATERINGACCOMMODATION,SelfCateringAccommodation
ARTISTSIGNING,ArtistSigning
CULTURALEVENT,CulturalEvent
EQUESTRIANCENTER,EquestrianCenter
AIRFIELD,Airfield
TRANSPORT,Transport
ORDEREDLIST,OrderedList
EDUCATIONALTRAIL,EducationalTrail
TOUR,Tour
WALKINGTOUR,WalkingTour
BEDANDBREAKFAST,BedAndBreakfast
GUESTHOUSE,Guesthouse
PALACE,Palace
REMARKABLEBUILDING,RemarkableBuilding
CYCLINGTOUR,CyclingTour
FLUVIALTOUR,FluvialTour
CELLAR,Cellar
TOURISTINFORMATIONCENTER,TouristInformationCenter
INCOMINGTRAVELAGENCY,IncomingTravelAgency
TOURISTINFORMATIONCENTER,TouristInformationCenter
INTERPRETATIONCENTRE,InterpretationCentre
CHURCH,Church
RELIGIOUSSITE,ReligiousSite
ARTGALLERYOREXHIBITIONGALLERY,ArtGalleryOrExhibitionGallery
INDUSTRIALSITE,IndustrialSite
MINE,Mine
PARK,Park
PARKANDGARDEN,ParkAndGarden
MOVIETHEATER,MovieTheater
CINEMA,Cinema
LOCALTOURISTOFFICE,LocalTouristOffice
